,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
GUT_0001,0.00073,0.20801,0.89102,0.06682,-0.65372,0.11039,1.12901,0.5788,-0.40264,-0.86775,-0.93731,-0.25409,-2.76716,-0.45976,-2.0225,-1.01784,-0.22003,-0.40272,0.62528,0.92027,0.31163,1.41627,-0.7607,0.98962,0.82235,-0.21129,-0.69302,-0.93143,-0.19114,-0.01021,-0.80844,0.00401
GUT_0002,-0.08196,0.45435,0.46439,-0.00837,-0.80213,0.27506,1.30253,1.13903,-0.85636,-1.31186,-0.9774,-0.16552,-1.63608,0.04152,-1.44127,-1.06662,-0.78815,-0.32172,0.42031,0.85642,-0.45018,1.72206,-0.55227,0.25787,0.8483,-0.03837,-1.47751,-0.89281,-0.72536,-0.03048,-1.16968,-0.0261
GUT_0003,0.28569,0.05649,0.40069,0.2455,-0.60858,0.43692,0.98876,1.1553,-0.40292,-1.10615,-0.48369,-0.90174,-2.25987,-0.22515,-1.28267,-0.88991,-0.53042,-0.21327,0.34568,0.92668,0.1789,1.09012,-0.40766,0.39571,0.70239,0.02152,-0.9735,-0.75296,-0.37075,0.081,-1.28517,-0.13375
GUT_0004,0.23032,-0.22611,0.65731,0.03208,-0.46216,-0.01585,1.46505,0.8896,-0.61408,-1.3505,-0.54318,-0.22681,-2.02774,-0.64468,-1.50572,-0.67335,-0.17855,-0.24677,0.34965,0.68624,-0.17635,1.36149,-0.24255,0.50704,0.5212,0.60071,-0.84225,-1.14159,-0.08902,0.20776,-1.10147,-0.15448
GUT_0005,-0.21807,0.36752,0.87714,0.0101,-0.74033,0.11934,1.33484,0.78508,-0.89495,-1.06261,-0.53213,-0.05732,-2.14147,0.12305,-1.51954,-0.88309,-0.3086,-0.13657,0.46831,1.33312,-0.40059,0.99668,-0.88182,0.38215,0.70445,-0.02779,-0.98725,-1.07683,-0.70892,0.31206,-0.8109,-0.32929
GUT_0006,0.25854,-0.10984,1.03896,-0.16897,-0.44504,0.47259,1.21389,1.09296,-1.06337,-0.73572,-0.95879,0.27128,-2.60531,0.06893,-1.3421,-0.69266,-0.53092,-0.04112,0.33124,0.30072,-0.31855,1.41239,-0.77531,0.54397,1.1573,0.05707,-1.11591,-0.57568,-0.18696,0.1454,-0.48255,-0.29639
GUT_0007,0.39519,-0.36647,1.12823,-0.11923,-0.29706,0.49771,1.26549,1.21721,-1.07868,-0.92603,-0.6392,-0.09428,-2.13774,0.04618,-1.05346,-0.23239,-0.27408,0.00458,0.27666,1.06914,0.01221,1.36203,-0.58979,0.45804,1.11453,0.06861,-0.83095,-1.1288,-0.68066,0.51331,-1.03075,-0.01244
GUT_0008,-0.13654,0.15455,0.90744,0.18791,-0.73621,0.32889,1.22956,0.86084,-1.33025,-1.4799,-0.6708,0.42043,-2.28485,0.13143,-1.34434,-0.79544,-1.51911,-0.20047,0.5484,1.48345,-0.25022,1.39,-0.84158,0.05745,0.72519,0.00776,-0.40464,-0.92117,-0.65536,0.25566,-0.95523,-0.37823
GUT_0009,0.07234,0.03416,0.30581,0.19521,-0.21245,0.47501,0.88146,0.76503,-0.39566,-1.19084,-0.62574,0.15163,-2.14477,-0.39591,-1.31851,-0.69654,-0.68025,-0.34966,0.7361,0.80056,0.35313,1.8363,-1.09355,0.31625,0.98914,-0.09621,-0.92877,-0.98108,-0.27293,0.09236,-0.55294,-0.13668
GUT_0010,0.2823,-0.03978,0.55764,0.5584,-0.33271,0.31074,0.9097,1.04032,-0.98967,-1.69441,-0.69306,0.11169,-2.00441,-0.14818,-1.04441,-1.03874,-0.54989,-0.28525,0.62719,1.07153,0.07249,1.24041,-0.57571,0.45523,0.59103,0.1379,-0.82359,-1.39775,-0.21812,0.12973,-1.22272,-0.3035
GUT_0011,0.08425,-0.014,0.98382,0.23829,-0.26853,0.24247,1.49676,0.93259,-0.43513,-1.51631,-0.81816,0.35851,-2.37405,-0.30853,-1.22652,-0.90464,-0.21127,-0.62859,0.37398,1.12925,-0.15465,1.16589,-0.88229,0.45786,0.64585,0.25557,-1.12454,-1.06047,-0.44865,-0.09284,-0.84662,-0.21381
GUT_0012,-0.26567,-0.11935,0.35122,-0.23632,-0.59348,0.93097,1.37339,1.13781,-0.65056,-1.06968,-0.95905,-0.0663,-2.25969,-0.22327,-1.29391,-0.89874,-0.60885,-0.50985,-0.19383,0.74389,-0.00962,1.75573,-0.2118,0.3757,1.12682,0.32101,-0.91656,-1.34621,-0.45,-0.22036,-1.0896,-0.05715
GUT_0013,0.43573,-0.04173,0.771,0.33159,-0.10243,0.39945,1.61138,0.93104,-0.84028,-1.18672,-0.77473,-0.10196,-2.47697,-0.79265,-1.21954,-1.04823,-0.57108,0.04619,0.28138,0.90701,0.21244,1.50304,-0.42106,0.26269,1.09049,-0.07753,-0.9125,-0.77266,-0.60732,0.41197,-0.4117,-0.63071
GUT_0014,0.08946,0.15817,0.38791,0.18774,-0.57331,0.39669,1.38678,0.64208,-0.97227,-0.91561,-0.54997,0.06791,-2.33605,-0.12966,-1.5349,-0.98202,-0.21813,-0.27848,0.62421,0.8911,0.21565,1.45278,-0.54488,0.48869,0.70422,-0.37242,-1.0122,-0.51409,-0.13255,0.13346,-1.08504,0.04998
GUT_0015,0.44212,-0.01281,0.01134,0.0266,-0.49975,0.48191,1.34204,0.78815,-0.73267,-1.19172,-0.69028,-0.05165,-2.01201,-0.45544,-1.33328,-1.24008,-0.40902,-0.10923,0.54875,1.27193,-0.01836,1.45209,-0.54671,0.28468,1.20055,0.00687,-1.10909,-0.70928,0.00495,-0.01984,-1.03503,-0.38054
GUT_0016,-0.18472,-0.20152,0.27393,-0.03716,-0.83219,0.09683,0.87402,1.25192,-0.57647,-1.74479,-0.77248,-0.12628,-2.49777,-0.58051,-1.05731,-0.83123,-0.42722,-0.18461,0.75549,0.5888,0.30612,1.68367,-0.52193,0.94741,0.95471,0.29938,-0.9281,-0.63814,-0.41577,0.1074,-0.48038,-0.28538
