,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
VAG_0001,0.32394,-0.32212,0.44796,0.57007,-0.59617,0.51054,1.21546,0.87297,-1.0748,-1.32188,-0.9189,-0.19913,-2.20388,-0.35737,-0.70682,-0.79841,-0.34216,-0.22428,0.04558,0.48024,-0.54917,1.31593,-0.39698,0.189,0.94154,0.13529,-0.08217,-1.0598,-0.58876,0.20492,-0.97756,-0.78685
VAG_0002,0.08713,-0.37866,0.84116,0.36943,-0.39888,0.57974,1.0812,0.72917,-0.85796,-1.09029,-0.38795,0.26745,-2.28322,-0.14794,-1.03971,-0.90615,-0.63398,-0.21765,0.80368,1.19911,-0.13658,1.24225,-0.62964,-0.33198,1.08238,0.21565,-0.9567,-0.83753,-0.44223,-0.03751,-0.66702,-0.16558
VAG_0003,0.11443,-0.30014,0.82732,0.32771,-0.45702,-0.36519,1.2903,0.92856,-0.73041,-1.10967,-0.56091,-0.01926,-2.69063,-0.04971,-1.30849,-0.69197,-0.25423,-0.10367,0.45927,0.81839,-0.34071,1.04164,-0.80391,0.79603,0.87953,0.0862,-0.72643,-0.77757,-0.16008,0.16795,-0.80815,0.56685
VAG_0004,0.10754,-0.12354,0.6895,-0.05929,0.25059,0.28607,1.36031,0.89172,-0.57032,-1.13267,-0.54584,0.395,-2.36003,0.03368,-1.61398,-0.47747,-0.40917,-0.172,0.44674,0.96091,-0.71464,1.22482,-0.72802,0.15946,1.00749,0.0013,-0.60889,-1.06962,-0.34279,0.24166,-1.04957,-0.48939
VAG_0005,-0.18181,0.20246,0.42901,-0.11767,-0.49528,0.00343,1.13798,0.49696,-1.17851,-1.26851,-0.67591,0.35485,-1.87394,-0.15046,-1.14298,-1.02935,-0.65793,-0.29168,0.65724,1.19519,-0.17076,1.3197,-0.87,-0.00129,0.67673,0.07756,-0.68812,-0.97659,-0.38549,0.6722,-0.9557,-0.28583
VAG_0006,0.62248,-0.65209,1.49813,1.56539,0.58959,-1.76769,0.17212,0.65415,1.06142,-0.39855,1.84342,-1.60549,-0.79658,0.82019,0.46367,1.85369,-0.15053,-0.59333,-0.38075,-1.15647,-1.20741,0.5511,0.53828,1.49636,-0.38304,1.75293,-0.30148,1.55505,-0.59781,-0.81784,-0.10263,1.06111
VAG_0007,-0.17384,0.14681,1.71039,1.41178,0.56128,-2.4028,-0.342,0.75736,0.62941,-0.06272,1.96628,-1.60986,-0.58299,0.75484,-0.20984,1.99455,-0.17408,-0.52754,-0.07653,-0.92527,-1.45697,0.51641,0.62169,1.41911,-0.54463,1.90182,-0.30944,1.55893,-0.16875,-0.93769,0.15659,0.80082
VAG_0008,0.28961,-0.53414,1.84287,1.19203,0.48392,-2.33692,-0.15948,0.55069,1.20397,-0.31003,2.10084,-1.15121,-0.58201,0.99747,0.24444,2.0615,0.33447,-0.65045,-0.41084,-0.9217,-1.44741,1.15028,0.04811,0.74491,-0.9658,1.80485,-0.56734,1.85159,-0.35268,-0.80353,-0.11276,1.44759
VAG_0009,0.64408,-0.44857,1.44683,1.15705,1.01415,-1.84099,-0.04659,0.8119,1.1669,-0.74172,1.86231,-1.08634,-0.84117,1.04318,-0.2268,1.90595,0.35425,-0.86436,-0.17747,-1.0426,-1.35828,0.51491,0.72511,1.54517,-0.62992,1.5411,-0.25692,2.11499,-0.66291,-0.74607,0.63323,0.85582
VAG_0010,0.43121,-0.19775,1.43785,1.28528,0.84723,-2.21537,0.04019,0.57745,1.0736,-0.50219,1.75854,-1.54439,-0.7079,0.6739,0.16052,2.12262,0.08141,-0.60901,-0.52321,-1.42616,-1.21702,1.20514,0.30442,1.30943,-0.51269,1.71029,0.33403,1.75431,-0.52977,-0.05425,0.15693,0.90072
VAG_0011,0.4613,-0.4535,1.86504,1.27754,0.87916,-2.32803,-0.05239,0.88315,1.05253,-0.59855,1.83817,-1.45755,-0.6491,1.27964,0.42788,2.14805,0.16528,-0.61428,-0.54118,-0.90058,-1.06656,0.9035,0.69399,1.43745,-0.79902,2.1106,-0.37268,1.98562,-0.80579,-0.88995,0.39426,1.31211
