Genome_ID,Genus,GC_content,Genome_size_Mb
GUT_0001,Bacteroides,42.0,3.89
GUT_0002,Bacteroides,41.2,1.87
GUT_0003,Bacteroides,44.4,3.04
GUT_0004,Bacteroides,44.3,2.07
GUT_0005,Bacteroides,42.7,4.31
GUT_0006,Bacteroides,41.3,2.36
GUT_0007,Bacteroides,41.1,1.73
GUT_0008,Bacteroides,44.7,4.41
GUT_0009,Bacteroides,42.8,3.28
GUT_0010,Bacteroides,43.2,3.33
GUT_0011,Bacteroides,41.4,2.78
GUT_0012,Bacteroides,40.9,2.63
GUT_0013,Bacteroides,41.9,2.93
GUT_0014,Bacteroides,42.7,4.33
GUT_0015,Bacteroides,42.4,3.77
GUT_0016,Bacteroides,43.0,4.32
GUT_0017,Bacteroides,41.9,2.77
GUT_0018,Bacteroides,42.9,2.4
GUT_0019,Bacteroides,42.9,1.76
GUT_0020,Bacteroides,43.9,2.23
GUT_0021,Bacteroides,42.6,3.73
GUT_0022,Bacteroides,42.5,3.19
GUT_0023,Bacteroides,41.0,3.07
GUT_0024,Bacteroides,41.1,4.11
GUT_0025,Bacteroides,42.9,2.28
GUT_0026,Bacteroides,43.5,2.54
GUT_0027,Bacteroides,42.2,4.22
GUT_0028,Bacteroides,42.3,2.94
GUT_0029,Bacteroides,42.7,2.94
GUT_0030,Bacteroides,41.5,3.59
GUT_0031,Bacteroides,44.2,1.92
GUT_0032,Bacteroides,43.0,3.04
GUT_0033,Bacteroides,44.6,3.94
GUT_0034,Bacteroides,43.4,3.78
GUT_0035,Bacteroides,41.7,1.54
GUT_0036,Bacteroides,43.8,3.94
GUT_0037,Bacteroides,43.1,4.2
GUT_0038,Bacteroides,43.8,4.01
GUT_0039,Bacteroides,44.3,2.72
GUT_0040,Bacteroides,44.1,2.92
GUT_0041,Bacteroides,41.4,4.23
GUT_0042,Bacteroides,44.4,2.9
GUT_0043,Bacteroides,45.0,2.97
GUT_0044,Bacteroides,43.8,2.64
GUT_0045,Bacteroides,43.7,2.69
GUT_0046,Bacteroides,44.5,1.74
GUT_0047,Bacteroides,44.8,2.49
GUT_0048,Bacteroides,41.1,2.99
GUT_0049,Bacteroides,42.5,4.47
GUT_0050,Bacteroides,40.9,2.16
GUT_0051,Bacteroides,41.7,3.85
GUT_0052,Bacteroides,42.8,2.23
GUT_0053,Bacteroides,43.7,3.17
GUT_0054,Bacteroides,42.5,2.14
GUT_0055,Bacteroides,40.7,3.69
GUT_0056,Bacteroides,42.6,1.63
GUT_0057,Bacteroides,43.4,3.92
GUT_0058,Bacteroides,42.1,2.48
GUT_0059,Bacteroides,41.7,3.62
GUT_0060,Bacteroides,42.9,1.62
GUT_0061,Bacteroides,44.6,3.19
GUT_0062,Bacteroides,41.6,2.76
GUT_0063,Bacteroides,43.4,3.63
GUT_0064,Bacteroides,44.0,2.04
GUT_0065,Bacteroides,43.1,2.44
GUT_0066,Bacteroides,39.8,2.02
GUT_0067,Bacteroides,41.7,3.28
GUT_0068,Bacteroides,41.0,4.43
